campagne_id,nom_campagne,type_campagne,date_debut,cible,budget_fcfa,groupe_test,date_fin,taux_conversion,nb_envois
1,Camp_001,Email,2023-06-02,Fidèles,500000,A,2023-06-15,0.1053,8146
2,Camp_002,Email,2023-05-28,Fidèles,500000,B,2023-06-16,0.1691,8619
3,Camp_003,SMS,2022-10-10,Tous,500000,A,2022-10-24,0.1127,1593
4,Camp_004,Réseaux sociaux,2023-01-04,Tous,2000000,A,2023-01-10,0.1272,10856
5,Camp_005,Email,2022-09-24,Fidèles,250000,A,2022-10-06,0.1525,10219
6,Camp_006,Push App,2022-07-24,Inactifs,50000,B,2022-07-31,0.1199,19587
7,Camp_007,Email,2022-03-28,Tous,50000,B,2022-04-14,0.1411,14667
8,Camp_008,SMS,2024-09-03,Fidèles,50000,A,2024-09-14,0.1247,9895
9,Camp_009,WhatsApp,2024-10-20,Tous,250000,B,2024-11-07,0.1439,11304
10,Camp_010,WhatsApp,2024-07-14,Fidèles,100000,B,2024-07-23,0.1646,19936
11,Camp_011,Réseaux sociaux,2023-09-28,Inactifs,1000000,B,2023-10-09,0.1773,7277
12,Camp_012,SMS,2023-08-23,Inactifs,100000,A,2023-08-26,0.1175,16142
13,Camp_013,Réseaux sociaux,2023-09-07,Tous,50000,A,2023-09-15,0.0967,4917
14,Camp_014,Réseaux sociaux,2022-12-30,Inactifs,50000,A,2023-01-17,0.1449,17430
15,Camp_015,WhatsApp,2022-12-04,Nouveaux,500000,A,2022-12-15,0.1302,8290
16,Camp_016,Email,2022-11-07,Nouveaux,250000,A,2022-11-22,0.1686,16571
17,Camp_017,Push App,2024-05-09,VIP,50000,B,2024-05-26,0.1666,10443
18,Camp_018,Réseaux sociaux,2022-05-20,Nouveaux,1000000,A,2022-05-31,0.091,13479
19,Camp_019,SMS,2022-08-12,Fidèles,250000,B,2022-08-27,0.1219,16789
20,Camp_020,Email,2024-01-19,Fidèles,250000,A,2024-02-01,0.1066,19194
21,Camp_021,Email,2023-10-24,VIP,1000000,A,2023-10-31,0.1073,8096
22,Camp_022,Push App,2022-02-17,Fidèles,50000,A,2022-02-23,0.0937,8176
23,Camp_023,Email,2024-04-04,Tous,500000,A,2024-04-08,0.1073,9474
24,Camp_024,SMS,2023-10-07,Fidèles,2000000,B,2023-10-20,0.2039,8359
25,Camp_025,Email,2023-12-20,Tous,50000,B,2023-12-29,0.133,19791
26,Camp_026,SMS,2024-03-11,Fidèles,100000,B,2024-03-18,0.1051,17238
27,Camp_027,Réseaux sociaux,2023-07-20,Inactifs,100000,B,2023-08-01,0.1806,9872
28,Camp_028,Email,2022-01-06,Tous,50000,B,2022-01-25,0.1676,1177
