campagne_key,campagne_id_nk,nom_campagne,type_campagne,cible,groupe_test,date_debut,date_fin,duree_jours,budget_fcfa,nb_envois,cout_par_envoi_fcfa
1,1,Camp_001,Email,Fidèles,A,2023-06-02,2023-06-15,13,500000,8146,61.4
2,2,Camp_002,Email,Fidèles,B,2023-05-28,2023-06-16,19,500000,8619,58.0
3,3,Camp_003,SMS,Tous,A,2022-10-10,2022-10-24,14,500000,1593,313.9
4,4,Camp_004,Réseaux sociaux,Tous,A,2023-01-04,2023-01-10,6,2000000,10856,184.2
5,5,Camp_005,Email,Fidèles,A,2022-09-24,2022-10-06,12,250000,10219,24.5
6,6,Camp_006,Push App,Inactifs,B,2022-07-24,2022-07-31,7,50000,19587,2.6
7,7,Camp_007,Email,Tous,B,2022-03-28,2022-04-14,17,50000,14667,3.4
8,8,Camp_008,SMS,Fidèles,A,2024-09-03,2024-09-14,11,50000,9895,5.1
9,9,Camp_009,WhatsApp,Tous,B,2024-10-20,2024-11-07,18,250000,11304,22.1
10,10,Camp_010,WhatsApp,Fidèles,B,2024-07-14,2024-07-23,9,100000,19936,5.0
11,11,Camp_011,Réseaux sociaux,Inactifs,B,2023-09-28,2023-10-09,11,1000000,7277,137.4
12,12,Camp_012,SMS,Inactifs,A,2023-08-23,2023-08-26,3,100000,16142,6.2
13,13,Camp_013,Réseaux sociaux,Tous,A,2023-09-07,2023-09-15,8,50000,4917,10.2
14,14,Camp_014,Réseaux sociaux,Inactifs,A,2022-12-30,2023-01-17,18,50000,17430,2.9
15,15,Camp_015,WhatsApp,Nouveaux,A,2022-12-04,2022-12-15,11,500000,8290,60.3
16,16,Camp_016,Email,Nouveaux,A,2022-11-07,2022-11-22,15,250000,16571,15.1
17,17,Camp_017,Push App,VIP,B,2024-05-09,2024-05-26,17,50000,10443,4.8
18,18,Camp_018,Réseaux sociaux,Nouveaux,A,2022-05-20,2022-05-31,11,1000000,13479,74.2
19,19,Camp_019,SMS,Fidèles,B,2022-08-12,2022-08-27,15,250000,16789,14.9
20,20,Camp_020,Email,Fidèles,A,2024-01-19,2024-02-01,13,250000,19194,13.0
21,21,Camp_021,Email,VIP,A,2023-10-24,2023-10-31,7,1000000,8096,123.5
22,22,Camp_022,Push App,Fidèles,A,2022-02-17,2022-02-23,6,50000,8176,6.1
23,23,Camp_023,Email,Tous,A,2024-04-04,2024-04-08,4,500000,9474,52.8
24,24,Camp_024,SMS,Fidèles,B,2023-10-07,2023-10-20,13,2000000,8359,239.3
25,25,Camp_025,Email,Tous,B,2023-12-20,2023-12-29,9,50000,19791,2.5
26,26,Camp_026,SMS,Fidèles,B,2024-03-11,2024-03-18,7,100000,17238,5.8
27,27,Camp_027,Réseaux sociaux,Inactifs,B,2023-07-20,2023-08-01,12,100000,9872,10.1
28,28,Camp_028,Email,Tous,B,2022-01-06,2022-01-25,19,50000,1177,42.5
29,29,Camp_029,WhatsApp,Tous,B,2022-11-30,2022-12-03,3,100000,2974,33.6
30,30,Camp_030,Push App,Nouveaux,A,2023-10-29,2023-11-04,6,500000,8493,58.9
31,31,Camp_031,Email,Tous,A,2022-02-19,2022-03-06,15,50000,12136,4.1
32,32,Camp_032,Email,Tous,B,2023-11-02,2023-11-11,9,50000,16945,3.0
33,33,Camp_033,Push App,Nouveaux,A,2022-05-26,2022-06-03,8,100000,1926,51.9
34,34,Camp_034,SMS,Fidèles,A,2022-04-03,2022-04-18,15,50000,7568,6.6
35,35,Camp_035,Email,Tous,A,2023-07-11,2023-07-25,14,50000,942,53.1
36,36,Camp_036,Email,Tous,A,2024-02-11,2024-02-18,7,100000,724,138.1
37,37,Camp_037,Réseaux sociaux,Inactifs,B,2022-10-15,2022-10-27,12,500000,7603,65.8
38,38,Camp_038,WhatsApp,Fidèles,A,2022-08-11,2022-08-29,18,50000,9724,5.1
39,39,Camp_039,SMS,Tous,A,2022-10-17,2022-10-22,5,50000,10793,4.6
40,40,Camp_040,Email,Tous,A,2023-04-20,2023-04-28,8,50000,14093,3.5
41,41,Camp_041,Réseaux sociaux,Nouveaux,B,2024-01-01,2024-01-17,16,500000,13906,36.0
42,42,Camp_042,SMS,Nouveaux,A,2022-10-11,2022-10-28,17,500000,11477,43.6
43,43,Camp_043,Push App,Nouveaux,A,2022-04-04,2022-04-22,18,50000,1868,26.8
44,44,Camp_044,Réseaux sociaux,Nouveaux,B,2022-04-25,2022-05-15,20,100000,18853,5.3
45,45,Camp_045,Email,Fidèles,B,2022-09-11,2022-09-24,13,100000,2155,46.4
46,46,Camp_046,Réseaux sociaux,Fidèles,B,2024-04-18,2024-04-24,6,500000,1309,382.0
47,47,Camp_047,Push App,Tous,A,2024-05-17,2024-06-03,17,100000,18747,5.3
48,48,Camp_048,WhatsApp,Tous,A,2023-12-19,2023-12-30,11,50000,9105,5.5
49,49,Camp_049,WhatsApp,VIP,A,2022-11-05,2022-11-23,18,1000000,1761,567.9
50,50,Camp_050,Email,Tous,A,2024-04-26,2024-05-01,5,100000,12493,8.0
51,51,Camp_051,WhatsApp,Nouveaux,A,2024-03-06,2024-03-14,8,100000,19808,5.0
52,52,Camp_052,SMS,Tous,A,2023-04-25,2023-04-30,5,500000,2390,209.2
53,53,Camp_053,SMS,Fidèles,A,2023-10-04,2023-10-21,17,100000,8679,11.5
54,54,Camp_054,WhatsApp,VIP,B,2022-10-22,2022-10-26,4,250000,15523,16.1
55,55,Camp_055,SMS,VIP,B,2024-09-02,2024-09-06,4,50000,12998,3.8
56,56,Camp_056,WhatsApp,Tous,A,2024-01-05,2024-01-21,16,100000,10369,9.6
57,57,Camp_057,Push App,Tous,B,2024-09-09,2024-09-17,8,100000,19303,5.2
58,58,Camp_058,Email,VIP,B,2023-01-17,2023-01-24,7,250000,9472,26.4
59,59,Camp_059,Email,Nouveaux,B,2022-08-02,2022-08-05,3,250000,18231,13.7
60,60,Camp_060,SMS,Inactifs,A,2024-01-02,2024-01-11,9,50000,4265,11.7
61,61,Camp_061,SMS,Inactifs,A,2023-06-16,2023-07-02,16,50000,12411,4.0
62,62,Camp_062,WhatsApp,Fidèles,B,2022-05-25,2022-06-04,10,1000000,18284,54.7
63,63,Camp_063,SMS,Nouveaux,A,2023-03-23,2023-04-11,19,500000,14146,35.3
64,64,Camp_064,WhatsApp,Tous,B,2023-01-08,2023-01-20,12,50000,13751,3.6
65,65,Camp_065,Réseaux sociaux,Tous,B,2024-01-31,2024-02-16,16,50000,11909,4.2
66,66,Camp_066,Email,Fidèles,A,2024-06-16,2024-06-25,9,50000,4225,11.8
67,67,Camp_067,Push App,Inactifs,B,2022-01-23,2022-01-31,8,250000,5440,46.0
68,68,Camp_068,SMS,Fidèles,B,2022-10-06,2022-10-24,18,50000,12611,4.0
69,69,Camp_069,SMS,Fidèles,B,2023-05-06,2023-05-25,19,250000,9510,26.3
70,70,Camp_070,WhatsApp,Fidèles,B,2022-08-06,2022-08-20,14,50000,17653,2.8
71,71,Camp_071,Email,Tous,B,2022-10-21,2022-11-09,19,50000,14885,3.4
72,72,Camp_072,SMS,Fidèles,B,2023-02-16,2023-02-21,5,50000,12588,4.0
73,73,Camp_073,Email,Nouveaux,B,2022-07-08,2022-07-13,5,100000,16152,6.2
74,74,Camp_074,WhatsApp,Fidèles,A,2023-02-26,2023-03-04,6,250000,4827,51.8
75,75,Camp_075,Email,Inactifs,B,2023-01-02,2023-01-16,14,500000,13930,35.9
76,76,Camp_076,Email,Tous,A,2022-05-17,2022-05-27,10,100000,18360,5.4
77,77,Camp_077,Email,Nouveaux,B,2024-01-15,2024-01-29,14,100000,7813,12.8
78,78,Camp_078,Push App,Inactifs,A,2023-05-08,2023-05-19,11,250000,7873,31.8
79,79,Camp_079,WhatsApp,Nouveaux,B,2023-07-01,2023-07-12,11,1000000,14086,71.0
80,80,Camp_080,Push App,Inactifs,B,2022-09-27,2022-10-08,11,50000,3604,13.9
81,81,Camp_081,WhatsApp,Inactifs,A,2023-03-29,2023-04-09,11,100000,3166,31.6
82,82,Camp_082,Email,Tous,B,2024-11-21,2024-12-08,17,250000,12452,20.1
83,83,Camp_083,WhatsApp,Fidèles,A,2023-06-02,2023-06-17,15,1000000,13683,73.1
84,84,Camp_084,SMS,Nouveaux,A,2023-04-16,2023-04-25,9,500000,16689,30.0
85,85,Camp_085,Réseaux sociaux,Fidèles,B,2024-04-30,2024-05-10,10,100000,17363,5.8
86,86,Camp_086,Email,Fidèles,A,2022-10-02,2022-10-19,17,50000,4483,11.2
87,87,Camp_087,Email,VIP,B,2023-01-11,2023-01-20,9,50000,7578,6.6
88,88,Camp_088,Push App,Tous,B,2022-02-24,2022-02-28,4,50000,821,60.9
89,89,Camp_089,SMS,VIP,A,2022-10-27,2022-11-01,5,50000,15390,3.2
90,90,Camp_090,SMS,Inactifs,A,2024-05-11,2024-05-15,4,50000,17146,2.9
91,91,Camp_091,WhatsApp,Tous,B,2022-03-29,2022-04-09,11,50000,15222,3.3
92,92,Camp_092,Email,Fidèles,A,2023-04-20,2023-05-08,18,100000,3525,28.4
93,93,Camp_093,SMS,Inactifs,A,2022-01-29,2022-02-10,12,250000,10990,22.7
94,94,Camp_094,Push App,Fidèles,A,2022-09-06,2022-09-16,10,500000,11369,44.0
95,95,Camp_095,WhatsApp,Nouveaux,A,2022-12-28,2023-01-12,15,100000,2126,47.0
96,96,Camp_096,Réseaux sociaux,Fidèles,A,2022-09-03,2022-09-07,4,250000,543,460.4
97,97,Camp_097,Push App,VIP,A,2024-08-13,2024-08-19,6,500000,17993,27.8
98,98,Camp_098,Email,Fidèles,B,2024-02-05,2024-02-10,5,100000,3807,26.3
99,99,Camp_099,Push App,Fidèles,A,2022-01-19,2022-01-24,5,250000,9775,25.6
100,100,Camp_100,WhatsApp,Fidèles,A,2023-08-26,2023-09-01,6,250000,7249,34.5
101,101,Camp_101,Email,Fidèles,A,2022-05-28,2022-06-07,10,50000,8533,5.9
102,102,Camp_102,Email,VIP,B,2023-04-02,2023-04-15,13,500000,19250,26.0
103,103,Camp_103,Push App,Nouveaux,B,2022-05-24,2022-06-05,12,100000,13951,7.2
104,104,Camp_104,Push App,Tous,B,2022-05-15,2022-05-28,13,50000,8803,5.7
105,105,Camp_105,Email,Nouveaux,A,2023-05-07,2023-05-14,7,50000,3396,14.7
106,106,Camp_106,WhatsApp,Tous,B,2022-04-12,2022-04-21,9,1000000,16406,61.0
107,107,Camp_107,SMS,Tous,B,2024-06-25,2024-06-30,5,50000,12001,4.2
108,108,Camp_108,Email,VIP,A,2023-01-26,2023-01-31,5,500000,16574,30.2
109,109,Camp_109,Email,Tous,B,2022-07-07,2022-07-11,4,500000,3779,132.3
110,110,Camp_110,Email,VIP,A,2022-04-20,2022-04-23,3,1000000,12130,82.4
111,111,Camp_111,SMS,Tous,A,2023-04-22,2023-04-26,4,250000,2862,87.4
112,112,Camp_112,Email,Tous,B,2022-01-08,2022-01-27,19,50000,18930,2.6
113,113,Camp_113,WhatsApp,Fidèles,B,2023-05-25,2023-05-31,6,50000,13030,3.8
114,114,Camp_114,Push App,Inactifs,A,2024-04-24,2024-05-04,10,50000,18990,2.6
115,115,Camp_115,SMS,VIP,A,2024-05-30,2024-06-10,11,250000,8174,30.6
116,116,Camp_116,WhatsApp,Inactifs,B,2022-06-30,2022-07-13,13,500000,1275,392.2
117,117,Camp_117,Push App,Tous,A,2024-11-10,2024-11-28,18,500000,9238,54.1
118,118,Camp_118,Push App,Inactifs,A,2024-04-13,2024-04-28,15,50000,9899,5.1
119,119,Camp_119,SMS,Fidèles,B,2023-01-10,2023-01-23,13,100000,1989,50.3
120,120,Camp_120,WhatsApp,Tous,A,2022-12-03,2022-12-13,10,50000,14270,3.5
121,121,Camp_121,SMS,Fidèles,B,2022-09-12,2022-09-29,17,100000,4145,24.1
122,122,Camp_122,Email,Tous,B,2023-05-20,2023-05-28,8,100000,13054,7.7
123,123,Camp_123,Email,Fidèles,A,2024-10-19,2024-10-22,3,100000,6059,16.5
124,124,Camp_124,Email,Fidèles,B,2024-04-29,2024-05-11,12,500000,7863,63.6
125,125,Camp_125,Email,Tous,B,2023-06-13,2023-06-29,16,2000000,3620,552.5
126,126,Camp_126,Réseaux sociaux,Tous,A,2023-10-05,2023-10-22,17,100000,3783,26.4
127,127,Camp_127,Réseaux sociaux,VIP,B,2024-08-15,2024-08-18,3,100000,11174,8.9
128,128,Camp_128,Push App,Nouveaux,B,2023-05-09,2023-05-29,20,500000,17643,28.3
129,129,Camp_129,Push App,Fidèles,A,2023-09-01,2023-09-13,12,50000,5928,8.4
130,130,Camp_130,Réseaux sociaux,Inactifs,B,2022-10-27,2022-11-05,9,500000,3292,151.9
131,131,Camp_131,Email,Fidèles,B,2024-09-08,2024-09-13,5,50000,6903,7.2
132,132,Camp_132,WhatsApp,Inactifs,B,2022-03-03,2022-03-15,12,50000,12760,3.9
133,133,Camp_133,SMS,Nouveaux,B,2024-04-12,2024-04-27,15,500000,12197,41.0
134,134,Camp_134,Email,Tous,A,2024-02-26,2024-03-09,12,50000,3194,15.7
135,135,Camp_135,Email,Inactifs,A,2023-05-23,2023-06-03,11,100000,6788,14.7
136,136,Camp_136,Push App,Fidèles,B,2024-05-23,2024-06-07,15,100000,15351,6.5
137,137,Camp_137,WhatsApp,Nouveaux,B,2023-02-26,2023-03-06,8,50000,6455,7.7
138,138,Camp_138,WhatsApp,Nouveaux,A,2022-10-18,2022-11-04,17,100000,19964,5.0
139,139,Camp_139,Push App,Fidèles,B,2022-12-19,2022-12-26,7,250000,8258,30.3
140,140,Camp_140,Email,Inactifs,B,2022-11-01,2022-11-09,8,250000,16640,15.0
141,141,Camp_141,Réseaux sociaux,Tous,B,2023-08-25,2023-09-03,9,50000,2682,18.6
142,142,Camp_142,SMS,Tous,A,2024-05-28,2024-06-13,16,100000,3176,31.5
143,143,Camp_143,SMS,Tous,B,2022-10-28,2022-11-09,12,250000,4433,56.4
144,144,Camp_144,Réseaux sociaux,Fidèles,A,2022-01-15,2022-01-25,10,50000,18088,2.8
145,145,Camp_145,Email,Tous,B,2022-08-04,2022-08-23,19,500000,4043,123.7
146,146,Camp_146,Push App,Nouveaux,A,2022-02-12,2022-02-17,5,100000,3590,27.9
147,147,Camp_147,Email,Fidèles,B,2024-08-06,2024-08-24,18,250000,1199,208.5
148,148,Camp_148,WhatsApp,Fidèles,A,2024-06-16,2024-06-26,10,50000,19406,2.6
149,149,Camp_149,WhatsApp,Tous,A,2022-04-20,2022-04-24,4,1000000,17492,57.2
150,150,Camp_150,SMS,Fidèles,B,2023-02-09,2023-02-25,16,100000,1992,50.2
151,151,Camp_151,WhatsApp,Inactifs,A,2022-12-26,2022-12-31,5,500000,9847,50.8
152,152,Camp_152,Réseaux sociaux,Nouveaux,A,2023-02-03,2023-02-15,12,50000,6076,8.2
153,153,Camp_153,SMS,Tous,B,2023-01-22,2023-01-31,9,500000,780,641.0
154,154,Camp_154,Email,Nouveaux,A,2022-12-25,2023-01-05,11,100000,673,148.6
155,155,Camp_155,SMS,Inactifs,A,2023-08-16,2023-08-25,9,100000,7182,13.9
156,156,Camp_156,Email,Nouveaux,B,2022-10-27,2022-10-30,3,250000,8563,29.2
157,157,Camp_157,WhatsApp,Fidèles,B,2024-01-09,2024-01-23,14,100000,3049,32.8
158,158,Camp_158,WhatsApp,Nouveaux,A,2023-12-29,2024-01-16,18,1000000,14187,70.5
159,159,Camp_159,Email,VIP,B,2022-02-05,2022-02-24,19,50000,17355,2.9
160,160,Camp_160,Push App,Fidèles,B,2022-05-08,2022-05-20,12,50000,12116,4.1
161,161,Camp_161,WhatsApp,Tous,B,2024-05-10,2024-05-14,4,50000,10463,4.8
162,162,Camp_162,SMS,Inactifs,A,2024-07-18,2024-07-26,8,250000,16859,14.8
163,163,Camp_163,Email,Nouveaux,B,2023-03-30,2023-04-02,3,100000,18393,5.4
164,164,Camp_164,Email,Nouveaux,B,2024-11-24,2024-12-11,17,250000,19144,13.1
165,165,Camp_165,SMS,Fidèles,A,2022-07-30,2022-08-06,7,1000000,12068,82.9
166,166,Camp_166,Push App,Fidèles,B,2024-05-05,2024-05-14,9,100000,9512,10.5
167,167,Camp_167,Email,Nouveaux,A,2022-05-09,2022-05-15,6,250000,19193,13.0
168,168,Camp_168,WhatsApp,VIP,A,2022-08-20,2022-09-06,17,50000,6288,8.0
169,169,Camp_169,Email,Fidèles,A,2022-11-23,2022-11-30,7,500000,6941,72.0
170,170,Camp_170,SMS,Tous,B,2024-03-14,2024-03-17,3,50000,7363,6.8
171,171,Camp_171,Email,Tous,A,2022-01-19,2022-02-08,20,1000000,11894,84.1
172,172,Camp_172,Push App,Tous,A,2024-06-18,2024-07-07,19,500000,12527,39.9
173,173,Camp_173,Email,Tous,A,2023-10-30,2023-11-15,16,500000,9346,53.5
174,174,Camp_174,Push App,Fidèles,B,2022-05-02,2022-05-11,9,50000,5950,8.4
175,175,Camp_175,Push App,Tous,A,2023-09-12,2023-09-18,6,500000,14660,34.1
176,176,Camp_176,Réseaux sociaux,Inactifs,A,2023-10-14,2023-10-29,15,250000,6767,36.9
177,177,Camp_177,SMS,Tous,A,2022-10-04,2022-10-18,14,250000,2245,111.4
178,178,Camp_178,Email,Fidèles,A,2022-05-26,2022-06-02,7,50000,11701,4.3
