client_id,genre,age,ville,canal_acquisition,segment_marketing,nb_achats,ca_total,panier_moyen,derniere_achat,recence_jours,frequence_mensuelle,churn
1,M,21,Abidjan,Partenaire,Occasionnel,36,1114936.0,30970.444444444445,2024-11-19,42,1.0,0
2,F,28,Korhogo,Réseaux sociaux,Fidèle,40,1815481.0,45387.025,2024-12-30,1,1.1111111111111112,0
3,M,36,Abidjan,Mobile Money,Régulier,2,122029.0,61014.5,2022-09-10,843,0.05555555555555555,1
4,M,27,Abidjan,Boutique,Régulier,29,731922.0,25238.689655172413,2024-09-16,106,0.8055555555555556,1
5,F,30,Divo,Mobile Money,Occasionnel,26,834177.0,32083.73076923077,2024-09-24,98,0.7222222222222222,1
6,M,38,Abidjan,Partenaire,Occasionnel,15,448287.0,29885.8,2024-11-02,59,0.4166666666666667,0
7,M,30,Abidjan,Boutique,Nouveau,23,582523.0,25327.08695652174,2024-10-05,87,0.6388888888888888,0
8,M,36,Abidjan,Boutique,Régulier,30,892830.0,29761.0,2024-11-01,60,0.8333333333333334,0
9,F,51,Abidjan,Mobile Money,Occasionnel,30,1517688.0,50589.6,2024-12-08,23,0.8333333333333334,0
10,F,32,Abidjan,Boutique,Nouveau,31,1123557.0,36243.77419354839,2024-12-09,22,0.8611111111111112,0
11,F,46,Abidjan,Mobile Money,Nouveau,33,1405149.0,42580.27272727273,2024-09-28,94,0.9166666666666666,1
12,M,40,Abidjan,Site Web,Nouveau,24,816091.0,34003.791666666664,2024-12-22,9,0.6666666666666666,0
13,M,18,Abidjan,Boutique,Nouveau,38,1440892.0,37918.21052631579,2024-12-29,2,1.0555555555555556,0
14,M,21,Abidjan,Boutique,Nouveau,5,242626.0,48525.2,2024-09-23,99,0.1388888888888889,1
15,F,24,Abidjan,Réseaux sociaux,Occasionnel,35,833986.0,23828.17142857143,2024-12-15,16,0.9722222222222222,0
16,F,24,Divo,Mobile Money,Occasionnel,5,154013.0,30802.6,2024-06-01,213,0.1388888888888889,1
