client_id,genre,age,ville,canal_acquisition,date_inscription,segment_marketing,actif
1,M,21,Abidjan,Partenaire,2023-10-01,Occasionnel,1
2,F,28,Korhogo,Réseaux sociaux,2023-01-22,Fidèle,1
3,M,36,Abidjan,Mobile Money,2024-07-09,Régulier,0
4,M,27,Abidjan,Boutique,2023-03-22,Régulier,1
5,F,30,Divo,Mobile Money,2022-12-09,Occasionnel,1
6,M,38,Abidjan,Partenaire,2024-01-21,Occasionnel,1
7,M,30,Abidjan,Boutique,2022-02-24,Nouveau,1
8,M,36,Abidjan,Boutique,2023-02-16,Régulier,1
9,F,51,Abidjan,Mobile Money,2022-08-14,Occasionnel,1
10,F,32,Abidjan,Boutique,2023-02-14,Nouveau,1
11,F,46,Abidjan,Mobile Money,2023-05-07,Nouveau,1
12,M,40,Abidjan,Site Web,2022-03-11,Nouveau,1
13,M,18,Abidjan,Boutique,2024-08-04,Nouveau,1
14,M,21,Abidjan,Boutique,2023-04-02,Nouveau,0
15,F,24,Abidjan,Réseaux sociaux,2023-01-28,Occasionnel,1
16,F,24,Divo,Mobile Money,2022-06-13,Occasionnel,0
17,M,33,Abidjan,Mobile Money,2024-12-26,Occasionnel,1
18,F,40,Abidjan,Boutique,2024-07-25,Nouveau,1
19,M,47,Korhogo,Site Web,2023-06-12,Occasionnel,1
20,M,37,Abidjan,Mobile Money,2023-01-02,Régulier,1
21,M,29,Abidjan,Site Web,2023-05-27,Nouveau,1
22,F,18,San-Pédro,Boutique,2024-11-18,Nouveau,0
23,M,34,Bouaké,Boutique,2022-08-31,Occasionnel,1
24,M,34,Abidjan,Boutique,2024-01-20,Nouveau,0
25,M,36,Daloa,Mobile Money,2024-09-16,Nouveau,1
26,F,57,Yamoussoukro,Mobile Money,2024-04-07,Occasionnel,1
27,F,47,Abidjan,Site Web,2024-08-10,Occasionnel,1
28,F,42,Abidjan,Boutique,2024-11-03,Régulier,0
29,F,23,Abidjan,Boutique,2022-03-07,Fidèle,1
30,M,28,San-Pédro,Partenaire,2022-09-19,Occasionnel,0
31,M,32,Abidjan,Mobile Money,2022-06-08,Occasionnel,1
32,M,25,Abidjan,Boutique,2023-09-14,VIP,0
33,F,39,Abidjan,Boutique,2023-03-23,Occasionnel,0
34,F,37,Man,Mobile Money,2022-02-14,VIP,1
35,F,22,Abidjan,Partenaire,2023-09-03,Régulier,1
36,F,47,Abidjan,Partenaire,2022-04-21,Nouveau,1
37,F,35,Abidjan,Mobile Money,2023-03-23,Nouveau,0
38,F,18,Yamoussoukro,Partenaire,2023-02-06,Nouveau,1
39,F,33,Abidjan,Mobile Money,2024-09-05,Régulier,1
40,M,37,Korhogo,Partenaire,2024-01-18,Nouveau,0
41,F,44,Abidjan,Réseaux sociaux,2023-11-15,Régulier,1
42,M,30,Abidjan,Mobile Money,2024-06-29,Occasionnel,1
43,M,43,Abidjan,Boutique,2022-07-17,Fidèle,1
44,F,36,Abidjan,Site Web,2022-10-08,Régulier,1
45,M,19,Abidjan,Mobile Money,2024-04-03,Nouveau,1
46,M,18,Daloa,Boutique,2024-03-31,Nouveau,1
47,F,46,Abidjan,Site Web,2022-01-24,Occasionnel,0
48,F,47,Daloa,Mobile Money,2022-09-03,Régulier,1
49,M,37,Abidjan,Mobile Money,2022-09-06,Régulier,0
50,F,50,Bouaké,Mobile Money,2022-01-07,Occasionnel,1
51,F,45,Abidjan,Site Web,2023-12-26,Régulier,0
52,F,41,Abidjan,Boutique,2022-03-01,Occasionnel,1
