client_key,client_id_nk,genre,age,tranche_age,ville,canal_acquisition,segment_marketing,date_inscription,statut
1,1,M,21,18-25,Abidjan,Partenaire,Occasionnel,2023-10-01,Actif
2,2,F,28,26-35,Korhogo,Réseaux sociaux,Fidèle,2023-01-22,Actif
3,3,M,36,36-45,Abidjan,Mobile Money,Régulier,2024-07-09,Inactif
4,4,M,27,26-35,Abidjan,Boutique,Régulier,2023-03-22,Actif
5,5,F,30,26-35,Divo,Mobile Money,Occasionnel,2022-12-09,Actif
6,6,M,38,36-45,Abidjan,Partenaire,Occasionnel,2024-01-21,Actif
7,7,M,30,26-35,Abidjan,Boutique,Nouveau,2022-02-24,Actif
8,8,M,36,36-45,Abidjan,Boutique,Régulier,2023-02-16,Actif
9,9,F,51,46-55,Abidjan,Mobile Money,Occasionnel,2022-08-14,Actif
10,10,F,32,26-35,Abidjan,Boutique,Nouveau,2023-02-14,Actif
11,11,F,46,46-55,Abidjan,Mobile Money,Nouveau,2023-05-07,Actif
12,12,M,40,36-45,Abidjan,Site Web,Nouveau,2022-03-11,Actif
13,13,M,18,18-25,Abidjan,Boutique,Nouveau,2024-08-04,Actif
14,14,M,21,18-25,Abidjan,Boutique,Nouveau,2023-04-02,Inactif
15,15,F,24,18-25,Abidjan,Réseaux sociaux,Occasionnel,2023-01-28,Actif
16,16,F,24,18-25,Divo,Mobile Money,Occasionnel,2022-06-13,Inactif
17,17,M,33,26-35,Abidjan,Mobile Money,Occasionnel,2024-12-26,Actif
18,18,F,40,36-45,Abidjan,Boutique,Nouveau,2024-07-25,Actif
19,19,M,47,46-55,Korhogo,Site Web,Occasionnel,2023-06-12,Actif
20,20,M,37,36-45,Abidjan,Mobile Money,Régulier,2023-01-02,Actif
21,21,M,29,26-35,Abidjan,Site Web,Nouveau,2023-05-27,Actif
22,22,F,18,18-25,San-Pédro,Boutique,Nouveau,2024-11-18,Inactif
23,23,M,34,26-35,Bouaké,Boutique,Occasionnel,2022-08-31,Actif
